ID,REVIEWS
67,"Flawless internet at high speed, easy to set up and administer. Very recommendable"
68,Works very well.
69,The internet speeds are just amazing
70,"The kit speeds are amazing , jumia delivery was perfect. Am buying the 2nd kit soon"
71,Stable and fast speeds
72,Speed is amazing
73,no more thinking about booster locaion can camp anywhere and work from anywhere
74,"This is the best ISP in kenya price to performance wise. Installation is simple. the kit is actually new rather than refurbished as people claim. Effects on weather is so minimal you won't notice it. My only gripe is that the wifi signal on both 2.4 and 5GHZ is pretty weak.
average speeds is about 80 Mbps and peak I've got is 260 Mbps"
75,Activation and payment modalities clarity is still a nightmare given it is in a new market.
76,"Amazing speeds ,even with obstructions,  i would recommend it ,  hardware build is very good"
77,perfect
78,"It was easy to install and set up. I have better internet connection than before, and even though cables are down I am able to hold zoom meetings well"
79,"Works perfectly, It's just super, Internet speed is superfast and no buffering, I use it in an urban area (surrounded by buildings) and if you intend to do the same, just ensure you have a clear view of the sky without any obstruction on the South side as the dish is pointing in that direction, thank you Starlink for giving us a wonderful product and thank you Jumia for making it available in Kenya."
80,Best
81,Took a bit of setting up as would not activate easily but a few emails back and forth to Starlink and all sorted and amazing internet speeds in the bush
82,I like it
83,Product seemed to have been opened as if its a second hand product. and its not even connecting even after i placed it in a clear sky
84,Fast delivery and easy installation.
85,Fast and reliable internet connection no matter the location
86,As expected
87,Very Easy Setup. Just needs good sky coverage
88,Works perfectly like promised
89,So far I have tested the product and it is working well. I'm waiting to see how the rest of the days/months it is going to behave.
